name,43101,43070,43040,43009,42979,42948,42917,42887,42856,42826,42795,42767,42736,42705,42675,42644,42614,42583,42552,42522,42491,42461,42430,42401,42370,42339,42309,42278,42248,42217,42186,42156,42125,42095,42064,42036,42005,41974,41944,41913,41883,41852,41821,41791,41760,41730,41699,41671,41640,41609,41579,41548,41518,41487,41456,41426,41395,41365,41334,41306,41275,41244,41214,41183,41153,41122,41091,41061,41030,41000,40969,40940,40909,40878,40848,40817,40787,40756,40725,40695,40664,40634,40603,40575,40544,40513,40483,40452,40422,40391,40360,40330,40299,40269,40238,40210,40179
Automobile,NaN,0.302329973,0.275795784,0.276863217,0.283870218,0.284929717,0.276575361,0.27237804,0.277998947,0.271969684,0.27890171,NaN,NaN,0.304602479,0.278772489,0.272925574,0.280265614,0.278590663,0.274081241,0.26982483,0.279006861,0.273736792,0.278362457,NaN,NaN,0.287531069,0.265225608,0.264275542,0.262476216,0.262312074,0.264117973,0.261744314,0.268057739,0.274929821,0.263163055,NaN,NaN,0.278919973,0.256445747,0.256712478,0.268576371,0.258342535,0.269070592,0.265395304,0.269697504,0.278138804,0.277534597,NaN,NaN,0.278897173,0.262101087,0.254246949,0.262196305,0.262507967,0.264752585,0.264642535,0.266745181,0.260864373,0.258296356,NaN,NaN,0.269268234,0.255940548,0.238966786,0.249826998,0.26098747,0.256471929,0.257688662,0.262277852,0.25086243,0.265008986,NaN,NaN,0.282923861,0.265739262,0.248416888,0.272585223,0.274330164,0.265480416,0.269113295,0.266276704,0.280233808,0.277578368,0.226637275,0.257019957,0.317569491,0.290452205,0.266823975,0.287019436,0.296351782,0.294423939,0.287987219,0.283661055,0.298579082,0.287306621,0.240185632,0.283686521
Petroleum and Related Products,NaN,0.116212347,0.123460856,0.131793307,0.127596396,0.133565593,0.134126429,0.12808444,0.134261696,0.139596594,0.14007638,NaN,NaN,0.112577276,0.120929098,0.130365371,0.12760829,0.138319288,0.138030818,0.134818633,0.134630887,0.136117695,0.139122409,NaN,NaN,0.116825463,0.126065044,0.133803533,0.134518741,0.146508687,0.151038279,0.14499098,0.150102425,0.150459306,0.15024022,NaN,NaN,0.131012041,0.147478695,0.158205152,0.158006128,0.174886517,0.174964951,0.167321514,0.173248909,0.173855335,0.17480947,NaN,NaN,0.145774272,0.160255538,0.169369039,0.167750896,0.18155331,0.176137099,0.169172106,0.172151204,0.178678481,0.182968278,NaN,NaN,0.151996867,0.167132819,0.178876356,0.180686909,0.187621897,0.187762422,0.18160514,0.191149573,0.201714756,0.197377289,NaN,NaN,0.155476273,0.175576476,0.185448181,0.184279939,0.199072837,0.200398658,0.194084413,0.200867879,0.203020021,0.19703962,0.177161052,0.160611488,0.160310533,0.178548943,0.179554829,0.181692982,0.188086848,0.190987785,0.189460092,0.18628711,0.192778942,0.185404055,0.155538192,0.168081645
"Grain and Oil, Foodstuff",NaN,0.097462918,0.095527745,0.106316782,0.107130152,0.103412124,0.103793862,0.101417276,0.102660064,0.101831457,0.100125105,NaN,NaN,0.099138012,0.099853663,0.10465585,0.10827012,0.103722037,0.102609781,0.101391245,0.099161636,0.099508031,0.099106844,NaN,NaN,0.100517813,0.099488149,0.102260012,0.105969984,0.102680652,0.100158242,0.099066115,0.094135582,0.093863506,0.096097657,NaN,NaN,0.092759861,0.095225171,0.095057796,0.095690742,0.096470781,0.091796553,0.091336847,0.087629667,0.087166582,0.08769066,NaN,NaN,0.088906566,0.088543591,0.091178357,0.094516897,0.089832013,0.089003634,0.088624426,0.084451966,0.084932587,0.086515767,NaN,NaN,0.088681576,0.088229855,0.091404315,0.092668358,0.089142109,0.087325863,0.088208963,0.08289427,0.086069774,0.084760755,NaN,NaN,0.086054864,0.087781233,0.087743515,0.091043321,0.087907598,0.08721863,0.088844577,0.084196974,0.083327734,0.087785868,0.11025699,0.097527824,0.080684945,0.083793193,0.084742299,0.090662218,0.083345642,0.080323403,0.082310201,0.078331834,0.080479851,0.083429423,0.116635886,0.083249772
Garments,NaN,0.073748972,0.07492069,0.073771283,0.062095703,0.059774676,0.061048352,0.062009548,0.066534513,0.068905115,0.063219148,NaN,NaN,0.07360341,0.07440963,0.073493033,0.064056211,0.060340395,0.063463069,0.065174843,0.068341006,0.069168374,0.067932348,NaN,NaN,0.075559238,0.077478542,0.074048015,0.066047797,0.063008149,0.063073383,0.065469242,0.069448811,0.06818662,0.070144132,NaN,NaN,0.078976566,0.079737285,0.073832711,0.067532874,0.063754958,0.061675326,0.064810733,0.066686011,0.066641182,0.066833716,NaN,NaN,0.081400367,0.080132631,0.075971785,0.068270714,0.063757625,0.063221162,0.068185315,0.067998353,0.067079069,0.07083176,NaN,NaN,0.084765166,0.084473672,0.078729647,0.07014775,0.064014534,0.06452465,0.067196798,0.06845295,0.069947027,0.06778614,NaN,NaN,0.08214111,0.081323023,0.077526219,0.066472663,0.060171289,0.062618504,0.0638244,0.066251272,0.065741736,0.0662838,0.085744969,0.095305104,0.078455555,0.078663753,0.07755193,0.062846724,0.059270356,0.059825116,0.062504103,0.06445187,0.063079432,0.068703757,0.094023772,0.089377632
Household Appliances and Video Equipments,NaN,0.061627022,0.065316163,0.060576359,0.05920618,0.061282752,0.068637742,0.07078174,0.063639205,0.063207825,0.061375496,NaN,NaN,0.061195532,0.066160225,0.062689186,0.06092902,0.061124716,0.065995081,0.068624413,0.061184458,0.062936138,0.060294823,NaN,NaN,0.060963822,0.062902591,0.062502119,0.060868749,0.062171337,0.063364626,0.066362446,0.065189843,0.06089205,0.061457006,NaN,NaN,0.060144609,0.058640468,0.064612724,0.060217349,0.059031612,0.064242124,0.066037374,0.068136833,0.060376317,0.057580137,NaN,NaN,0.060540412,0.058750316,0.067544047,0.061724487,0.06063917,0.064385608,0.062855761,0.071920236,0.067222375,0.059431647,NaN,NaN,0.065012402,0.058203504,0.070311936,0.062924158,0.062317989,0.069126602,0.06634104,0.068152658,0.066266365,0.057957992,NaN,NaN,0.067798633,0.061654199,0.076032046,0.063806302,0.063377072,0.072860453,0.068287202,0.078872075,0.069235421,0.062626055,0.063701108,0.076196111,0.062660089,0.05860894,0.081119245,0.064728246,0.066908615,0.075424027,0.07130195,0.084457867,0.06743536,0.062145671,0.067860018,0.078369766
Traditional Chinese and Western Medicine,NaN,0.059269637,0.059549414,0.057524522,0.064745642,0.063903741,0.062031391,0.061375504,0.063334869,0.064378501,0.063474296,NaN,NaN,0.053569531,0.056483315,0.055441835,0.060692708,0.06087199,0.058760761,0.057998434,0.059697616,0.062001303,0.062213253,NaN,NaN,0.056089478,0.057201354,0.054847242,0.061406278,0.061325016,0.061228849,0.059747427,0.058091563,0.063015022,0.059025395,NaN,NaN,0.053539648,0.054234743,0.05388186,0.058653023,0.056649491,0.056706663,0.055208433,0.055794481,0.058571186,0.055271941,NaN,NaN,0.051341722,0.052818887,0.051686057,0.055801223,0.053571429,0.055152378,0.055306477,0.053797251,0.055841504,0.053837802,NaN,NaN,0.047478937,0.050621793,0.048101205,0.054644344,0.053634882,0.054750716,0.052754226,0.053315498,0.05327579,0.054237336,NaN,NaN,0.044518954,0.047981284,0.046319355,0.049657387,0.049233912,0.047790364,0.048663533,0.047494914,0.048525262,0.048131816,0.046009496,0.047588589,0.045093761,0.051942521,0.048901936,0.054176204,0.053721014,0.053321909,0.053268553,0.053613503,0.055392499,0.056116076,0.045934555,0.047641331
Others,NaN,0.044016691,0.04296833,0.043178662,0.044083375,0.042992282,0.044769902,0.045017156,0.045354346,0.044901923,0.045441077,NaN,NaN,0.048700142,0.047530917,0.048700298,0.044253295,0.046876226,0.046959777,0.047241975,0.048026799,0.046873967,0.047580696,NaN,NaN,0.055405965,0.052901803,0.052236275,0.053087378,0.050750754,0.050617919,0.051124907,0.049087704,0.04766121,0.050906952,NaN,NaN,0.059519111,0.055030849,0.052225357,0.050619749,0.049308878,0.047140442,0.04914231,0.046581759,0.046667941,0.049990123,NaN,NaN,0.052966514,0.052313257,0.048266105,0.048315444,0.046253301,0.045530999,0.048372563,0.045370349,0.044508401,0.048161348,NaN,NaN,0.051094084,0.052667468,0.050373987,0.050030958,0.046741831,0.046464422,0.04736953,0.044074691,0.043316349,0.044802314,NaN,NaN,0.049387283,0.047813174,0.046177052,0.044926747,0.043749509,0.042993502,0.042586526,0.040246694,0.038363343,0.040662496,0.041355792,0.036698861,0.043433577,0.04203548,0.039333358,0.039356791,0.040512312,0.038338167,0.03908695,0.037163175,0.036734218,0.038099356,0.034924468,0.035563875
Commodities,NaN,0.033904913,0.036657167,0.03671857,0.035915754,0.037363205,0.037097204,0.037169924,0.036520366,0.035857368,0.035564371,NaN,NaN,0.036817332,0.037122321,0.036955955,0.036982773,0.037987259,0.038414237,0.037953419,0.03777117,0.037119574,0.036531622,NaN,NaN,0.034472521,0.036207575,0.036070327,0.035272135,0.037171575,0.037502306,0.036037709,0.035729598,0.035597501,0.036464359,NaN,NaN,0.033099268,0.035761458,0.035005006,0.035685037,0.036917761,0.036306284,0.035697173,0.034705742,0.033957696,0.033843147,NaN,NaN,0.033570564,0.034820404,0.034464157,0.035692766,0.037455613,0.036897635,0.035746467,0.035194036,0.034883027,0.035911537,NaN,NaN,0.034323817,0.035157875,0.036292359,0.035753742,0.037217131,0.037149292,0.036481647,0.035229723,0.035146721,0.034974166,NaN,NaN,0.033016335,0.035148917,0.035461699,0.035494137,0.036442209,0.035911647,0.035670765,0.033872711,0.034181,0.035791201,0.039226769,0.035995267,0.031164026,0.03255435,0.035747464,0.035554952,0.035806976,0.036690395,0.034250323,0.035877993,0.034381551,0.037450754,0.039825733,0.03317958
"Footwear, Hats, Knitwear",NaN,0.027624646,0.029983063,0.028795675,0.026753498,0.026500214,0.027225166,0.029024317,0.028805027,0.028694566,0.027366706,NaN,NaN,0.028222454,0.030429543,0.029400375,0.028113209,0.026945769,0.028448962,0.029553758,0.029629364,0.029225409,0.027853439,NaN,NaN,0.029177023,0.031364674,0.029424231,0.028352517,0.02700621,0.027046706,0.028971665,0.029222048,0.028514222,0.028757721,NaN,NaN,0.030247295,0.031618086,0.029544007,0.027854205,0.0266225,0.026575128,0.028902731,0.028829912,0.028308699,0.027958286,NaN,NaN,0.03052408,0.030483655,0.029161196,0.027492111,0.025664664,0.026276479,0.029153205,0.028802397,0.028290959,0.029279173,NaN,NaN,0.031923761,0.032384078,0.030159455,0.027061152,0.025341313,0.026040653,0.02889831,0.029838115,0.028507094,0.027574975,NaN,NaN,0.031202644,0.031450506,0.029257325,0.026047192,0.023823368,0.025280762,0.027172451,0.027355671,0.02680731,0.027091239,0.033744065,0.034524114,0.031812289,0.031665494,0.030359333,0.026186135,0.024834891,0.025441603,0.027794192,0.028680975,0.026997438,0.028442395,0.037008098,0.033602959
